STN	YYYYMMDD	FF
321	19960701	66
321	19960701	72
321	19960701	82
321	19960701	77
321	19960701	77
321	19960701	70
321	19960701	82
321	19960701	77
321	19960701	72
321	19960701	77
321	19960701	72
321	19960701	70
321	19960701	80
321	19960701	90
321	19960701	110
321	19960701	110
321	19960701	90
321	19960701	120
321	19960701	80
321	19960701	80
321	19960701	90
321	19960701	90
321	19960701	90
321	19960701	80
321	19960702	90
321	19960702	100
321	19960702	90
321	19960702	100
321	19960702	100
321	19960702	90
321	19960702	90
321	19960702	90
321	19960702	80
321	19960702	80
321	19960702	80
321	19960702	70
321	19960702	70
321	19960702	80
321	19960702	70
321	19960702	70
321	19960702	60
321	19960702	60
321	19960702	60
321	19960702	60
321	19960702	60
321	19960702	60
321	19960702	70
321	19960702	70
321	19960703	80
321	19960703	70
321	19960703	80
321	19960703	80
321	19960703	80
321	19960703	90
321	19960703	90
321	19960703	80
321	19960703	80
321	19960703	90
321	19960703	80
321	19960703	70
321	19960703	110
321	19960703	100
321	19960703	90
321	19960703	100
321	19960703	120
321	19960703	120
321	19960703	120
321	19960703	130
321	19960703	100
321	19960703	100
321	19960703	90
321	19960703	90
321	19960704	90
321	19960704	80
321	19960704	90
321	19960704	70
321	19960704	50
321	19960704	50
321	19960704	70
321	19960704	100
321	19960704	100
321	19960704	110
321	19960704	110
321	19960704	120
321	19960704	130
321	19960704	140
321	19960704	140
321	19960704	150
321	19960704	150
321	19960704	150
321	19960704	130
321	19960704	120
321	19960704	120
321	19960704	110
321	19960704	100
321	19960704	100
321	19960705	90
321	19960705	80
321	19960705	80
321	19960705	80
321	19960705	80
321	19960705	70
321	19960705	70
321	19960705	60
321	19960705	50
321	19960705	50
321	19960705	50
321	19960705	40
321	19960705	20
321	19960705	20
321	19960705	20
321	19960705	20
321	19960705	30
321	19960705	20
321	19960705	10
321	19960705	10
321	19960705	20
321	19960705	10
321	19960705	20
321	19960705	30
321	19960706	30
321	19960706	30
321	19960706	40
321	19960706	50
321	19960706	50
321	19960706	60
321	19960706	80
321	19960706	90
321	19960706	80
321	19960706	70
321	19960706	60
321	19960706	60
321	19960706	60
321	19960706	40
321	19960706	80
321	19960706	80
321	19960706	100
321	19960706	80
321	19960706	60
321	19960706	50
321	19960706	50
321	19960706	40
321	19960706	40
321	19960706	40
321	19960707	50
321	19960707	40
321	19960707	40
321	19960707	40
321	19960707	40
321	19960707	40
321	19960707	30
321	19960707	20
321	19960707	20
321	19960707	30
321	19960707	20
321	19960707	20
321	19960707	40
321	19960707	40
321	19960707	40
321	19960707	40
321	19960707	50
321	19960707	30
321	19960707	50
321	19960707	50
321	19960707	60
321	19960707	40
321	19960707	50
321	19960707	60
321	19960708	70
321	19960708	70
321	19960708	80
321	19960708	70
321	19960708	70
321	19960708	80
321	19960708	80
321	19960708	90
321	19960708	80
321	19960708	80
321	19960708	80
321	19960708	90
321	19960708	70
321	19960708	70
321	19960708	50
321	19960708	50
321	19960708	40
321	19960708	30
321	19960708	10
321	19960708	10
321	19960708	10
321	19960708	10
321	19960708	20
321	19960708	20
321	19960709	30
321	19960709	40
321	19960709	50
321	19960709	50
321	19960709	60
321	19960709	60
321	19960709	60
321	19960709	70
321	19960709	60
321	19960709	60
321	19960709	70
321	19960709	70
321	19960709	70
321	19960709	80
321	19960709	70
321	19960709	60
321	19960709	50
321	19960709	60
321	19960709	90
321	19960709	90
321	19960709	70
321	19960709	90
321	19960709	90
321	19960709	90
321	19960710	90
321	19960710	110
321	19960710	110
321	19960710	100
321	19960710	100
321	19960710	90
321	19960710	100
321	19960710	80
321	19960710	90
321	19960710	70
321	19960710	80
321	19960710	70
321	19960710	50
321	19960710	30
321	19960710	20
321	19960710	30
321	19960710	30
321	19960710	30
321	19960710	40
321	19960710	50
321	19960710	50
321	19960710	60
321	19960710	70
321	19960710	70
321	19960711	70
321	19960711	60
321	19960711	50
321	19960711	50
321	19960711	40
321	19960711	40
321	19960711	40
321	19960711	40
321	19960711	40
321	19960711	30
321	19960711	40
321	19960711	40
321	19960711	40
